id,path,label
80307,s/subway_station/platform/sun_apxwzmzpqchxyolc.jpg,s/subway_station/platform
41901,w/warehouse/indoor/sun_avhxowaeutlxscho.jpg,w/warehouse/indoor
51913,p/planetarium/outdoor/sun_bledqpnkepmbchni.jpg,p/planetarium/outdoor
8720,b/beach/sun_aaicoqtebtvukrqf.jpg,b/beach
71885,d/dining_room/sun_aeqcplpktsddhlfi.jpg,d/dining_room
63649,h/hotel_room/sun_bdeuaufdreautzsd.jpg,h/hotel_room
32442,a/aqueduct/sun_ablisynmymlmtoub.jpg,a/aqueduct
34133,a/abbey/sun_apfspmgkuapckzvb.jpg,a/abbey
96523,c/campsite/sun_aslflhmdxdvkfbbg.jpg,c/campsite
8049,b/beach/sun_allxszrsmntvgfpz.jpg,b/beach
3690,b/badminton_court/indoor/sun_afrlrnrbryckmqpc.jpg,b/badminton_court/indoor
33538,a/art_studio/sun_bjebxlocpkpbblvs.jpg,a/art_studio
42358,w/warehouse/indoor/sun_agvlkrmloynzrshd.jpg,w/warehouse/indoor
100277,c/construction_site/sun_blmgxeqkzurgtvxc.jpg,c/construction_site
48517,t/tower/sun_aaorukaiabxlxodp.jpg,t/tower
56688,p/parking_garage/outdoor/sun_dlmcwykdodvhvgru.jpg,p/parking_garage/outdoor
28196,v/van_interior/sun_aacbhpkyxcoyibpf.jpg,v/van_interior
92786,c/campus/sun_azirpzgykhrkmqzz.jpg,c/campus
44396,w/waterfall/fan/sun_adcvdvsmyvxlyfig.jpg,w/waterfall/fan
95592,c/cottage_garden/sun_bwmxeyknaggpmiei.jpg,c/cottage_garden
83760,r/restaurant_patio/sun_awqtinrcopubsbep.jpg,r/restaurant_patio
87940,l/lobby/sun_bmmvrvtfohbeqlxg.jpg,l/lobby
28397,v/viaduct/sun_bbcszkrtusprzvpr.jpg,v/viaduct
34907,a/auditorium/sun_afazspqfjgjgzila.jpg,a/auditorium
64917,h/highway/sun_amgsqmjtjimftsiq.jpg,h/highway
37501,f/forest_path/sun_apcsdvctssbmwyxt.jpg,f/forest_path
76061,s/shopping_mall/indoor/sun_bkbrnuttzyjsxwmk.jpg,s/shopping_mall/indoor
19917,m/mountain_snowy/sun_aaprdioackglucdh.jpg,m/mountain_snowy
44636,t/toll_plaza/sun_bzbbhqmruzdjlitx.jpg,t/toll_plaza
40148,f/forest/needleleaf/sun_akldfuxketeyqrcr.jpg,f/forest/needleleaf
26787,g/garbage_dump/sun_aninfokhzdkndflx.jpg,g/garbage_dump
74174,s/supermarket/sun_afvphqlrjgurvvnu.jpg,s/supermarket
88930,l/library/indoor/sun_ansrxtszykzkzbup.jpg,l/library/indoor
16938,m/mosque/outdoor/sun_agiruaabeencdzyu.jpg,m/mosque/outdoor
11342,b/bridge/sun_aewaxdqpfvbfblkd.jpg,b/bridge
60909,h/hill/sun_abpmezkcskgsvtxn.jpg,h/hill
35093,a/auditorium/sun_aedwoxkklqrdvfft.jpg,a/auditorium
21525,j/jail_cell/sun_ahzwpurqchzmitdc.jpg,j/jail_cell
58678,i/iceberg/sun_abmvacaaqlzdboaq.jpg,i/iceberg
4847,b/baggage_claim/sun_aqdcyunqnofahlzd.jpg,b/baggage_claim
40400,w/wave/sun_alpiqyrzmhvtgemq.jpg,w/wave
62344,h/house/sun_btckpqionljgxwkb.jpg,h/house
55781,p/playground/sun_bpnlryokajmraozb.jpg,p/playground
99925,c/carrousel/sun_aixkchkqxedmqmkd.jpg,c/carrousel
38289,f/fire_station/sun_ajfgurqwsvfvbzcd.jpg,f/fire_station
3637,b/badminton_court/indoor/sun_aopxgoovurdtqffb.jpg,b/badminton_court/indoor
50066,o/ocean/sun_ayylmhxqgahfnoze.jpg,o/ocean
18449,m/mountain/sun_byxoojaacqfcpmul.jpg,m/mountain
37106,f/fishpond/sun_bosytjokmpvilcpj.jpg,f/fishpond
83015,r/restaurant/sun_amghogwyhqmgxxmr.jpg,r/restaurant
86934,l/lecture_room/sun_ahhtrmwvoadbfucw.jpg,l/lecture_room
53465,p/poolroom/establishment/sun_aplqufqmjymgncqh.jpg,p/poolroom/establishment
12494,b/bedroom/sun_aemtxvkmowlcrlqk.jpg,b/bedroom
96364,c/car_interior/frontseat/sun_dikfyyvuaerqagtk.jpg,c/car_interior/frontseat
10668,b/bar/sun_bgvaippbcsjhtcmm.jpg,b/bar
86961,l/lecture_room/sun_btgwxzaodmntbelp.jpg,l/lecture_room
749,b/booth/indoor/sun_biqfplssbljmytbn.jpg,b/booth/indoor
89218,l/living_room/sun_baxhpjjrrkxphgzn.jpg,l/living_room
40861,w/wind_farm/sun_bhudyxkuipejawtk.jpg,w/wind_farm
15907,m/moat/water/sun_bzkimxjvdzjuskvk.jpg,m/moat/water
697,b/booth/indoor/sun_bpuviypnfgomckrg.jpg,b/booth/indoor
93651,c/castle/sun_ajcoccnwbxebkjmg.jpg,c/castle
3255,b/bamboo_forest/sun_ayhmmzxjwujzjvnt.jpg,b/bamboo_forest
32354,a/aqueduct/sun_audemiexgopvvpuq.jpg,a/aqueduct
6472,b/boat_deck/sun_armbfpwxvjulkqwl.jpg,b/boat_deck
955,b/booth/indoor/sun_bqmqwgdhqfrkwtzv.jpg,b/booth/indoor
93372,c/castle/sun_aiqzgeqlvvbnqahe.jpg,c/castle
99959,c/carrousel/sun_arqgapkyyuisqvgl.jpg,c/carrousel
50986,o/office_building/sun_bnvfcjovftpfniny.jpg,o/office_building
85468,l/locker_room/sun_arimgqxstenosggo.jpg,l/locker_room
18076,m/mountain/sun_blcmaxuoeqguveua.jpg,m/mountain
104183,c/church/outdoor/sun_aojqlnjbyaaqftuh.jpg,c/church/outdoor
47412,t/tennis_court/outdoor/sun_bywxeeyhulpjjwag.jpg,t/tennis_court/outdoor
45802,t/ticket_booth/sun_afwpzlwrnqzboebp.jpg,t/ticket_booth
20580,y/youth_hostel/sun_bmwbvgkntcimlljq.jpg,y/youth_hostel
30069,a/art_gallery/sun_asiloekdtiroucfz.jpg,a/art_gallery
3043,b/bookstore/sun_ancrhvtkwbswgiog.jpg,b/bookstore
22877,e/escalator/indoor/sun_bmykhbtqznhlhaqu.jpg,e/escalator/indoor
81131,s/shopfront/sun_bwoyuwcualutixvv.jpg,s/shopfront
101177,c/casino/indoor/sun_aceiyxksgijkiyhh.jpg,c/casino/indoor
52550,p/pantry/sun_amlbjgedvjtqwifo.jpg,p/pantry
63695,h/hangar/indoor/sun_bpluglxrkwguirgn.jpg,h/hangar/indoor
42377,w/warehouse/indoor/sun_awwfymqtpwiejkoa.jpg,w/warehouse/indoor
4824,b/baggage_claim/sun_aubiaakoydqnwzdt.jpg,b/baggage_claim
22649,e/escalator/indoor/sun_bdocalsqcsdehjjs.jpg,e/escalator/indoor
29245,a/aquarium/sun_ajdmtwukbnllgwdu.jpg,a/aquarium
